iter	Passed	Remaining
0	0	832
1	1	848
2	2	807
3	3	798
4	4	812
5	4	802
6	5	802
7	6	813
8	7	840
9	8	858
10	9	865
11	10	882
12	11	910
13	13	926
14	14	933
15	15	938
16	16	942
17	17	941
18	18	941
19	19	944
20	20	958
21	21	973
22	23	978
23	24	978
24	25	980
25	26	982
26	27	990
27	28	986
28	29	989
29	30	985
30	31	981
31	32	977
32	33	976
33	34	975
34	35	976
35	36	976
36	37	974
37	38	968
38	39	962
39	39	959
40	40	957
41	41	953
42	42	950
43	43	946
44	44	941
45	45	937
46	45	930
47	46	927
48	47	921
49	48	916
50	49	913
51	49	909
52	50	907
53	52	913
54	53	918
55	54	923
56	57	951
57	59	962
58	60	965
59	61	962
60	62	959
61	63	954
62	63	950
63	64	945
64	66	950
65	67	957
66	68	955
67	69	955
68	70	955
69	72	959
70	73	962
71	74	962
72	75	962
73	76	958
74	77	955
75	78	951
76	79	948
77	79	944
78	80	941
79	81	941
80	82	940
81	84	940
82	84	933
83	85	934
84	86	934
85	87	933
86	88	932
87	89	928
88	90	924
89	91	921
90	91	917
91	92	912
92	93	908
93	93	904
94	94	901
95	95	897
96	96	894
97	97	892
98	97	889
99	98	884
100	98	881
101	99	878
102	100	874
103	101	870
104	101	868
105	102	865
106	103	862
107	104	859
108	104	856
109	105	853
110	106	849
111	106	846
112	107	843
113	108	840
114	108	837
115	109	834
116	110	831
117	111	829
118	116	859
119	117	861
120	118	860
121	119	860
122	120	858
123	121	856
124	122	855
125	123	856
126	124	853
127	125	855
128	126	855
129	127	855
130	129	855
131	129	854
132	131	853
133	132	853
134	133	853
135	134	852
136	135	850
137	135	848
138	136	847
139	137	844
140	138	842
141	138	839
142	139	836
143	140	835
144	141	834
145	142	832
146	143	830
147	143	828
148	144	827
149	145	826
150	146	824
151	147	824
152	148	822
153	149	820
154	150	818
155	150	815
156	151	812
157	151	809
158	152	806
159	153	803
160	153	799
161	154	796
162	154	794
163	155	791
164	156	789
165	156	788
166	157	785
167	158	782
168	158	780
169	159	777
170	159	775
171	160	772
172	160	769
173	161	766
174	161	763
175	162	760
176	162	757
177	163	754
178	163	751
179	164	748
180	165	746
181	165	744
182	166	741
183	166	738
184	167	735
185	167	733
186	168	731
187	168	728
188	169	726
189	169	723
190	170	721
191	171	719
192	171	718
193	172	717
194	173	715
195	173	713
196	174	711
197	175	709
198	175	707
199	176	705
200	177	703
201	177	702
202	178	700
203	179	698
204	179	696
205	180	694
206	180	692
207	181	690
208	181	688
209	182	686
210	183	684
211	183	682
212	184	680
213	184	678
214	185	677
215	186	675
216	186	673
217	187	671
218	187	670
219	188	668
220	189	666
221	189	665
222	190	663
223	191	662
224	191	660
